content_id,client_id,baseline_rank,baseline_action_score,suggested_action,reason_codes,is_declining_label,trend_direction,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,content_age_days,days_since_last_update,word_count
content_2561fb8fdb3f,client_6208ef0f77,2659,0.7606910628535247,monitor,general_review,1,down,20608,50,210,30.7,0.24,2.86,125,104,3691.0
content_8ae219136693,client_19581e27de,2660,0.7606546444444443,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4051,4,5,6.9,0.1,0.0,330,104,0.0
content_ac77a0ae4185,client_f74efabef1,2661,0.7606430936057755,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,33210,140,139,6.7,0.42,6.47,97,20,2199.0
content_cbf1341ed76b,client_6208ef0f77,2662,0.7605962460150726,monitor,general_review,0,stable,13446,24,347,23.9,0.18,1.15,300,104,6388.0
content_8e7ba84a972b,client_7f2253d7e2,2663,0.7604782349499133,refresh_and_review_ctr,position_opportunity,0,stable,288426,2653,2598,4.8,0.92,1.19,224,20,3731.0
content_2f2017d2dd35,client_3fdba35f04,2664,0.7604488208389356,monitor,general_review,1,down,16024,60,181,22.5,0.37,7.18,131,41,1466.0
content_c3e4231878b4,client_4e07408562,2665,0.7604342344803922,refresh_and_review_ctr,position_opportunity,0,stable,15613,85,61,15.5,0.54,11.48,280,25,2989.0
content_68af684c0b56,client_6208ef0f77,2666,0.7604103475783646,monitor,general_review,0,up,34710,87,271,33.1,0.25,5.54,229,104,6248.0
content_bb039f652a92,client_19581e27de,2667,0.7603682882686408,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4681,2,7,11.8,0.04,14.29,313,104,0.0
content_6b6f63b41600,client_19581e27de,2668,0.7603676837690075,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,65529,169,295,7.4,0.26,2.37,362,20,3026.0
content_d19bea06a448,client_19581e27de,2669,0.7602975619814591,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3685,12,12,2.8,0.33,0.0,330,104,0.0
content_2bd606a1208a,client_19581e27de,2670,0.7602770986373216,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,32634,78,89,6.5,0.24,0.0,98,20,2596.0
content_f4441c6b6a5f,client_3fdba35f04,2671,0.7602410026732026,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,14150,43,105,18.0,0.3,2.86,284,26,2609.0
content_9564df050e02,client_19581e27de,2672,0.760121112414966,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,4056,7,17,6.8,0.17,0.0,313,104,0.0
content_dde365ff0745,client_6208ef0f77,2673,0.7600961969371748,monitor,general_review,0,stable,15591,12,125,26.8,0.08,0.0,299,104,5807.0
content_311950f2ec04,client_19581e27de,2674,0.7600942187575029,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,9025,14,38,9.7,0.16,0.0,419,22,0.0
